"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
5.579622510E-1,-1.794363745E-2,1.105022669E0,-2.571132421E0
5.768769390E-1,2.037939131E-1,9.413156509E-1,-2.405592918E0
5.957916780E-1,4.096494317E-1,7.140804529E-1,-2.134376764E0
6.147063660E-1,5.660263300E-1,4.520269632E-1,-1.806351662E0
6.336211060E-1,6.515449286E-1,1.838650256E-1,-1.470920205E0
6.525357930E-1,6.509341002E-1,-6.230641901E-2,-1.179545999E0
6.714505330E-1,5.721347928E-1,-2.627406716E-1,-9.724688530E-1
6.903652200E-1,4.346941710E-1,-4.069006443E-1,-8.674030900E-1
7.092799600E-1,2.593810260E-1,-4.960843325E-1,-8.612946272E-1
7.281946470E-1,7.307260484E-2,-5.339568853E-1,-9.413156509E-1
7.471093870E-1,-9.552124143E-2,-5.382328033E-1,-1.078756213E0
7.660240740E-1,-2.280751020E-1,-5.260158181E-1,-1.235133171E0
7.849388140E-1,-3.087069392E-1,-5.144097209E-1,-1.375017166E0
8.038535010E-1,-3.337516785E-1,-5.217399001E-1,-1.469087601E0
8.227682410E-1,-3.056527078E-1,-5.626666546E-1,-1.490467310E0
8.416829810E-1,-2.341835648E-1,-6.463527679E-1,-1.426939249E0
8.605976680E-1,-1.358371526E-1,-7.721872926E-1,-1.279724956E0
8.795124080E-1,-2.527380548E-2,-9.365051985E-1,-1.058598280E0
8.984270950E-1,8.406785131E-2,-1.130754590E0,-7.788302302E-1
9.173418350E-1,1.799708754E-1,-1.342718601E0,-4.605788291E-1
9.362565220E-1,2.544942498E-1,-1.556515217E0,-1.294996142E-1
9.551712620E-1,2.990860939E-1,-1.759927273E0,1.930277348E-1
9.740860010E-1,3.155789673E-1,-1.940127254E0,4.862344265E-1
9.930006890E-1,3.027511835E-1,-2.086119652E0,7.311841846E-1
1.011915428E0,2.642678022E-1,-2.193628788E0,9.157363772E-1
1.030830168E0,2.056264579E-1,-2.257767916E0,1.033629894E0
1.049744856E0,1.396549493E-1,-2.280369282E0,1.087995291E0
1.068659595E0,7.734853774E-2,-2.265098095E0,1.083719373E0
1.087574283E0,3.397838026E-2,-2.220506191E0,1.034851670E0
1.106489022E0,2.542651631E-2,-2.155756235E0,9.597173929E-1
1.125403762E0,6.818582863E-2,-2.081843853E0,8.783983588E-1
1.144318449E0,1.695864648E-1,-2.009763956E0,8.105943203E-1
1.163233189E0,3.314609826E-1,-1.950511694E0,7.763868570E-1
1.182147928E0,5.489225984E-1,-1.911417484E0,7.867712975E-1
1.201062616E0,7.999808192E-1,-1.895535350E0,8.460234404E-1
1.219977356E0,1.062034369E0,-1.900422215E0,9.517763853E-1
1.238892095E0,1.305762410E0,-1.915693402E0,1.089827895E0
1.257806783E0,1.504287720E0,-1.929742813E0,1.242539644E0
1.276721522E0,1.635009050E0,-1.930964589E0,1.386088729E0
1.295636262E0,1.684487700E0,-1.908363223E0,1.499095559E0
1.314550949E0,1.656388640E0,-1.855219483E0,1.563234448E0
1.333465689E0,1.564150810E0,-1.767868280E0,1.568121314E0
1.352380428E0,1.435261965E0,-1.646920562E0,1.506425738E0
1.371295116E0,1.269722342E0,-1.486267686E0,1.367152572E0
1.390209856E0,1.109069586E0,-1.301180959E0,1.175346494E0
1.409124595E0,1.005836368E0,-1.109375000E0,9.731560349E-1
1.428039283E0,9.765157104E-1,-9.175689220E-1,7.806627750E-1
1.446954022E0,1.018053293E0,-7.379798293E-1,6.175665855E-1
1.465868762E0,1.122508168E0,-5.773270130E-1,5.039489865E-1
1.484783449E0,1.259948850E0,-4.466057122E-1,4.483618736E-1
1.503698189E0,1.399832845E0,-3.452050686E-1,4.544703662E-1
1.522612928E0,1.510396242E0,-2.676274478E-1,5.094466209E-1
1.541527668E0,1.563539863E0,-2.034884989E-1,5.955760479E-1
1.560442356E0,1.542160273E0,-1.424037665E-1,6.908682585E-1
1.579357095E0,1.441981316E0,-7.826480269E-2,7.751652002E-1
1.598271835E0,1.273387432E0,1.221694518E-3,8.276980519E-1
1.617186522E0,1.054093242E0,9.834641218E-2,8.368607163E-1
1.636101262E0,8.079218268E-1,2.125748396E-1,7.977665067E-1
1.655016001E0,5.623612404E-1,3.451287150E-1,7.091936469E-1
1.673930741E0,3.418453932E-1,4.923428893E-1,5.796940327E-1
1.692845428E0,1.634780020E-1,6.505523324E-1,4.196520746E-1
1.711760168E0,4.069769755E-2,8.118160367E-1,2.443388999E-1
1.730674908E0,-2.527380548E-2,9.681929350E-1,7.024743408E-2
1.749589647E0,-3.993413970E-2,1.112352848E0,-8.918370306E-2
1.768504335E0,-1.611109637E-2,1.235133171E0,-2.199050188E-1
1.787419074E0,2.542651631E-2,1.332257867E0,-3.133646548E-1
1.806333814E0,6.574243307E-2,1.403116107E0,-3.689517379E-1
1.825248501E0,8.223531395E-2,1.448318839E0,-3.909422457E-1
1.844163241E0,5.657972768E-2,1.472752690E0,-3.909422457E-1
1.863077981E0,-1.916533336E-2,1.483137131E0,-3.817795515E-1
1.881992720E0,-1.456107199E-1,1.491688967E0,-3.799470067E-1
1.900907408E0,-3.123720288E-1,1.505127668E0,-4.013266563E-1
1.919822147E0,-5.017346740E-1,1.529561520E0,-4.581354558E-1
1.938736887E0,-6.862105131E-1,1.568044901E0,-5.564818382E-1
1.957651626E0,-8.395332098E-1,1.621799469E0,-6.969767213E-1
1.976566366E0,-9.397885203E-1,1.690825224E0,-8.710681796E-1
1.995481053E0,-9.697200060E-1,1.766570330E0,-1.064095974E0
2.014395793E0,-9.239065051E-1,1.840482831E0,-1.255901933E0
2.033310533E0,-8.114342093E-1,1.903400064E0,-1.427550077E0
2.052225272E0,-6.538356543E-1,1.945548534E0,-1.558882236E0
2.071139960E0,-4.809658527E-1,1.955932975E0,-1.640735745E0
2.090054699E0,-3.245889544E-1,1.932109833E0,-1.669445515E0
2.108969439E0,-2.164690048E-1,1.874079347E0,-1.652341843E0
2.127884178E0,-1.724879891E-1,1.789782524E0,-1.604695797E0
2.146798918E0,-1.914242655E-1,1.695101142E0,-1.545443535E0
2.165713606E0,-2.671693265E-1,1.590646267E0,-1.473974466E0
2.184628345E0,-3.838411570E-1,1.483137131E0,-1.401283622E0
2.203543085E0,-4.992912710E-1,1.397618532E0,-1.367076159E0
2.222457824E0,-5.762580037E-1,1.334701300E0,-1.375627995E0
2.241372564E0,-5.976377130E-1,1.288276911E0,-1.414722204E0
2.260287303E0,-5.506024361E-1,1.258956194E0,-1.477028728E0
2.279201991E0,-4.388174117E-1,1.233300567E0,-1.545443535E0
2.298116731E0,-2.830513418E-1,1.198482275E0,-1.599198103E0
2.317031470E0,-1.089598835E-1,1.146560311E0,-1.629129648E0
2.335946210E0,5.474718660E-2,1.068982720E0,-1.620577812E0
2.354860949E0,1.781383306E-1,9.645278454E-1,-1.569266558E0
2.373775637E0,2.410555929E-1,8.368607163E-1,-1.483137131E0
2.392690376E0,2.404447496E-1,6.933116317E-1,-1.368908763E0
2.411605116E0,1.787491739E-1,5.393781066E-1,-1.233911514E0
2.430519856E0,7.246175408E-2,3.836120665E-1,-1.092805743E0
2.449434595E0,-5.703786388E-2,2.321219593E-1,-9.535325766E-1
2.468349335E0,-1.859266311E-1,8.735115826E-2,-8.222004175E-1
2.487264022E0,-2.940466106E-1,-4.581354558E-2,-7.030851841E-1
2.506178762E0,-3.649048805E-1,-1.674485058E-1,-6.010736823E-1
2.525093501E0,-3.899496198E-1,-2.767901719E-1,-5.118899941E-1
2.544008241E0,-3.685699701E-1,-3.775799572E-1,-4.324798584E-1
2.562922981E0,-3.074852526E-1,-4.704287350E-1,-3.628432751E-1
2.581837720E0,-2.195232362E-1,-5.590016246E-1,-2.944283783E-1
2.600752408E0,-1.156791970E-1,-6.481853127E-1,-2.223484069E-1
2.619667147E0,-1.366770733E-2,-7.385907173E-1,-1.386623234E-1
2.638581887E0,7.185091078E-2,-8.332720399E-1,-4.153761268E-2
2.657496626E0,1.298813969E-1,-9.340618253E-1,7.574506104E-2
2.676411366E0,1.561478376E-1,-1.039738417E0,2.113531530E-1
2.695326106E0,1.500393599E-1,-1.149080038E0,3.622324169E-1
2.714240793E0,1.170536056E-1,-1.258421659E0,5.271611810E-1
2.733155533E0,6.940752268E-2,-1.365930796E0,7.000309825E-1
2.752070272E0,2.176143415E-2,-1.466720581E0,8.704573512E-1
2.770985012E0,-1.366770733E-2,-1.553460956E0,1.028132319E0
2.789899751E0,-2.038702741E-2,-1.622486711E0,1.164962053E0
2.808814491E0,1.015533600E-2,-1.668911099E0,1.272471189E0
2.827729231E0,8.040276915E-2,-1.689679861E0,1.342718601E0
2.846643918E0,1.848576516E-1,-1.684182286E0,1.375704408E0
2.865558658E0,3.161898255E-1,-1.654861569E0,1.375704408E0
2.884473397E0,4.609606266E-1,-1.605993748E0,1.349437952E0
2.903388137E0,6.038988829E-1,-1.544909120E0,1.309732914E0
2.922302876E0,7.285116911E-1,-1.483213544E0,1.270638704E0
2.941217616E0,8.250255585E-1,-1.426404715E0,1.244983077E0
2.960132303E0,8.885536790E-1,-1.379980326E0,1.241928816E0
2.979047043E0,9.197068810E-1,-1.346994519E0,1.266973615E0
2.997961783E0,9.245936871E-1,-1.323782325E0,1.314619660E0
3.016876522E0,9.148201346E-1,-1.303013563E0,1.375093579E0
3.035791262E0,9.013814926E-1,-1.273082018E0,1.428237200E0
3.054705949E0,8.818343878E-1,-1.219938278E0,1.443508387E0
3.073620689E0,8.665632010E-1,-1.143582463E0,1.423961282E0
3.092535428E0,8.690065742E-1,-1.049511909E0,1.379980326E0
3.111450168E0,8.861103058E-1,-9.334509969E-1,1.307900310E0
3.130364908E0,9.099333286E-1,-8.021187782E-1,1.211997271E0
3.149279647E0,9.380323291E-1,-6.610130668E-1,1.103266478E0
3.168194387E0,9.618553519E-1,-5.168531537E-1,9.939248562E-1
3.187109074E0,9.746831656E-1,-3.781908154E-1,8.961129189E-1
3.206023814E0,9.679638147E-1,-2.511345744E-1,8.148702383E-1
3.224938553E0,9.410865307E-1,-1.369061470E-1,7.556180358E-1
3.243853293E0,8.922187686E-1,-3.481829539E-2,7.153021693E-1
3.262768033E0,8.238039017E-1,5.497625470E-2,6.945333481E-1
3.281682772E0,7.388961315E-1,1.374406368E-1,6.810947061E-1
3.300597460E0,6.448256373E-1,2.162399292E-1,6.676560640E-1
3.319512199E0,5.477009416E-1,2.962609231E-1,6.487197876E-1
3.338426939E0,4.530195892E-1,3.799470067E-1,6.145123243E-1
3.357341678E0,3.662792742E-1,4.691306949E-1,5.589252710E-1
3.376256418E0,2.905342281E-1,5.662553906E-1,4.825693369E-1
3.395171158E0,2.270061076E-1,6.682668924E-1,3.842229247E-1
3.414085897E0,1.763057858E-1,7.751652002E-1,2.687727809E-1
3.433000585E0,1.353790164E-1,8.838959932E-1,1.398840249E-1
3.451915324E0,1.030041203E-1,9.907942414E-1,3.665083554E-3
3.470830064E0,7.307260484E-2,1.092805743E0,-1.356080920E-1
3.489744803E0,4.497363046E-2,1.186265349E0,-2.693836391E-1
3.508659543E0,1.198787708E-2,1.266286373E0,-3.933856487E-1
3.527574283E0,-2.832804248E-2,1.333479524E0,-5.051707029E-1
3.546488970E0,-7.841751724E-2,1.385401607E0,-6.022953987E-1
3.565403710E0,-1.358371526E-1,1.423274159E0,-6.872031689E-1
3.584318449E0,-1.963110417E-1,1.448929667E0,-7.605048418E-1
3.603233189E0,-2.561740577E-1,1.465422630E0,-8.264763355E-1
3.622147928E0,-3.093177676E-1,1.473974466E0,-8.912261724E-1
3.641062668E0,-3.471903205E-1,1.480082870E0,-9.565867782E-1
3.659977408E0,-3.655157387E-1,1.486802220E0,-1.026834249E0
3.678892095E0,-3.606289625E-1,1.494132400E0,-1.103190184E0
3.697806835E0,-3.337516785E-1,1.502073407E0,-1.185654521E0
3.716721574E0,-2.848838866E-1,1.510625243E0,-1.272394896E0
3.735636314E0,-2.231883109E-1,1.516122937E0,-1.358524323E0
3.754551053E0,-1.553842723E-1,1.514901161E0,-1.440377831E0
3.773465793E0,-9.185615927E-2,1.502684236E0,-1.513068676E0
3.792380533E0,-4.115583375E-2,1.475196123E0,-1.571709991E0
3.811295220E0,-7.559234742E-3,1.431825995E0,-1.613247633E0
3.830209960E0,7.101099472E-3,1.371962905E0,-1.633405566E0
3.849124699E0,-1.450762269E-3,1.292552829E0,-1.626075387E0
3.868039439E0,-3.504735976E-2,1.193595529E0,-1.582705259E0
3.886954178E0,-7.536327839E-2,1.089140654E0,-1.525896430E0
3.905868918E0,-1.040730998E-1,9.859074950E-1,-1.474585295E0
3.924783658E0,-1.181225851E-1,8.851176500E-1,-1.424495816E0
3.943698397E0,-1.120141149E-1,7.867712975E-1,-1.384790778E0
3.962613137E0,-8.208259940E-2,6.963658929E-1,-1.357913494E0
3.981527824E0,-3.626905754E-2,6.114581227E-1,-1.342642307E0
4.000442564E0,1.931804419E-2,5.296045542E-1,-1.335922956E0
4.019357303E0,7.612683624E-2,4.483618736E-1,-1.331036210E0
4.038272043E0,1.201078445E-1,3.616215885E-1,-1.319430113E0
4.057186783E0,1.427091956E-1,2.681619525E-1,-1.297439575E0
4.076101522E0,1.408766508E-1,1.667613089E-1,-1.258956194E0
4.095016262E0,1.133885235E-1,5.375456065E-2,-1.199093223E0
4.113931001E0,6.390989572E-2,-6.841489673E-2,-1.118461370E0
4.132845689E0,3.817795368E-4,-1.973800212E-1,-1.020725727E0
4.151760428E0,-6.803311408E-2,-3.305447102E-1,-9.064973593E-1
4.170675168E0,-1.327829212E-1,-4.655419588E-1,-7.794411182E-1
4.189589908E0,-1.853157878E-1,-6.005392075E-1,-6.481089592E-1
4.208504647E0,-2.189123929E-1,-7.300388217E-1,-5.149442554E-1
4.227419387E0,-2.311293334E-1,-8.534299731E-1,-3.836120665E-1
4.246334126E0,-2.225774676E-1,-9.676584005E-1,-2.608317733E-1
4.265248866E0,-1.950893402E-1,-1.070280790E0,-1.484358907E-1
4.284163606E0,-1.547734290E-1,-1.162518740E0,-4.642439261E-2
4.303078345E0,-1.083490327E-1,-1.243150473E0,4.642439261E-2
4.321993033E0,-6.131379306E-2,-1.315230489E0,1.331647038E-1
4.340907772E0,-2.160872146E-2,-1.378758669E0,2.174616307E-1
4.359822512E0,1.076618303E-2,-1.438010812E0,3.042019308E-1
4.378737251E0,3.275668249E-2,-1.491765380E0,3.964398801E-1
4.397651991E0,4.680617154E-2,-1.544298172E0,4.978405237E-1
4.416566731E0,5.780142173E-2,-1.594387650E0,6.077930331E-1
4.435481470E0,7.368344814E-2,-1.642644644E0,7.256865501E-1
4.454396210E0,1.005607322E-1,-1.686625600E0,8.460234404E-1
4.473310949E0,1.427091956E-1,-1.723276496E0,9.633824825E-1
4.492225689E0,2.037939131E-1,-1.748932004E0,1.070280790E0
4.511140376E0,2.838149071E-1,-1.759927273E0,1.160075307E0
4.530055116E0,3.778853714E-1,-1.754429698E0,1.227879405E0
4.548969856E0,4.811185598E-1,-1.730606675E0,1.270027757E0
4.567884595E0,5.849626064E-1,-1.689069033E0,1.285909891E0
4.586799335E0,6.796439290E-1,-1.631649375E0,1.281633854E0
4.605714074E0,7.614974380E-1,-1.563234448E0,1.260254264E0
4.624628814E0,8.250255585E-1,-1.488711119E0,1.230322719E0
4.643543553E0,8.683957458E-1,-1.410522699E0,1.200391173E0
4.662458293E0,8.958838582E-1,-1.333555937E0,1.177789927E0
4.681373033E0,9.105442166E-1,-1.259032607E0,1.162518740E0
4.700287720E0,9.215394258E-1,-1.185730934E0,1.157021046E0
4.719202460E0,9.319238663E-1,-1.108764172E0,1.152745128E0
4.738117199E0,9.355889559E-1,-1.018358707E0,1.129532933E0
4.757031939E0,9.361997843E-1,-9.181798100E-1,1.092882156E0
4.775946678E0,9.423082471E-1,-8.137248755E-1,1.058063865E0
4.794861418E0,9.520817995E-1,-7.043832541E-1,1.020191312E0
4.813776158E0,9.594119787E-1,-5.877113938E-1,9.749885798E-1
4.832690897E0,9.612445235E-1,-4.679853618E-1,9.261208177E-1
4.851605637E0,9.563577175E-1,-3.476484418E-1,8.765658140E-1
4.870520324E0,9.392540455E-1,-2.285332382E-1,8.276980519E-1
4.889435064E0,9.068791270E-1,-1.100288630E-1,7.788302302E-1
4.908349803E0,8.592330217E-1,6.108472589E-3,7.287407517E-1
4.927264543E0,8.005917072E-1,1.185043678E-1,6.804838181E-1
4.946179283E0,7.303442359E-1,2.272351831E-1,6.328377724E-1
4.965094022E0,6.533774734E-1,3.341334462E-1,5.833591223E-1
4.984008762E0,5.733565092E-1,4.391991794E-1,5.296045542E-1
5.002923449E0,4.939463735E-1,5.418215394E-1,4.734066129E-1
5.021838189E0,4.175904691E-1,6.413896084E-1,4.123218954E-1
5.040752928E0,3.479538560E-1,7.372926474E-1,3.445178568E-1
5.059667668E0,2.850365937E-1,8.307522535E-1,2.724378705E-1
5.078582408E0,2.294494957E-1,9.217684865E-1,1.948602796E-1
5.097497147E0,1.793600321E-1,1.009730577E0,1.123958975E-1
5.116411887E0,1.335464865E-1,1.093416572E0,2.626643144E-2
5.135326626E0,9.017632902E-2,1.172826767E0,-6.352811307E-2
5.154241366E0,4.741701856E-2,1.247350097E0,-1.557660550E-1
5.173156106E0,4.046862945E-3,1.315154195E0,-2.504473627E-1
5.192070793E0,-3.993413970E-2,1.376849771E0,-3.457395434E-1
5.210985533E0,-8.452598751E-2,1.431825995E0,-4.422534108E-1
5.229900272E0,-1.303395331E-1,1.478250384E0,-5.375455618E-1
5.248815012E0,-1.718771458E-1,1.517344594E0,-6.322268844E-1
5.267729751E0,-2.091388255E-1,1.549108624E0,-7.256865501E-1
